от;до;вес, кг;объем,м3;тип груза;стоимость, руб;аренда контейнера, руб;время, дней;дальность, км
Хани;Ванино;1000;55;уголь каменный;76412;112406;7;2402
Хани;Владивосток;1000;55;уголь каменный;79045;117321;8;2682
Хани;Посьет;1000;55;уголь каменный;83227;119617;8;2788
Хани;Дунай;1000;55;уголь каменный;83227;119617;8;2748
Хани;Находка;1000;55;уголь каменный;83754;121447;8;2816
Беркакит;Ванино;1000;55;уголь каменный;70146;98120;6;2550
Беркакит;Владивосток;1000;55;уголь каменный;77887;110931;7;2416
Беркакит;Посьет;1000;55;уголь каменный;79864;108954;7;2522
Беркакит;Дунай;1000;55;уголь каменный;77887;110931;7;2482
Беркакит;Находка;1000;55;уголь каменный;79864;113772;7;2550
Хасан;Ванино;1000;55;уголь каменный;64194;88324;5;1729
Хасан;Владивосток;1000;55;уголь каменный;23037;29819;2;326
Хасан;Посьет;1000;55;уголь каменный;13231;16902;0;66
Хасан;Дунай;1000;55;уголь каменный;26224;34014;2;392
Хасан;Находка;1000;55;уголь каменный;28405;36884;2;460
Хабаровск;Ванино;1000;55;уголь каменный;39874;52510;3;825
Хабаровск;Владивосток;1000;55;уголь каменный;37378;49106;3;756
Хабаровск;Посьет;1000;55;уголь каменный;41246;54388;3;862
Хабаровск;Дунай;1000;55;уголь каменный;39874;52510;3;822
Хабаровск;Находка;1000;55;уголь каменный;42316;93644;4;900
Тында;Ванино;1000;55;уголь каменный;68832;95466;6;1916
Тында;Владивосток;1000;55;уголь каменный;73034;102210;6;2196
Тында;Посьет;1000;55;уголь каменный;76248;107650;6;2302
Тында;Дунай;1000;55;уголь каменный;74150;104664;6;2262
Тында;Находка;1000;55;уголь каменный;76248;107650;7;2330
Комсомольск-на-Амуре;Ванино;1000;55;уголь каменный;28405;36884;2;455
Комсомольск-на-Амуре;Владивосток;1000;55;уголь каменный;50395;67479;3;1581
Комсомольск-на-Амуре;Посьет;1000;55;уголь каменный;52590;71052;4;1260
Комсомольск-на-Амуре;Дунай;1000;55;уголь каменный;50961;68819;3;1220
Комсомольск-на-Амуре;Находка;1000;55;уголь каменный;52590;71052;4;1288
Уссурийск;Ванино;1000;55;уголь каменный;57352;78292;4;1469
Уссурийск;Владивосток;1000;55;уголь каменный;15217;19532;1;112
Уссурийск;Посьет;1000;55;уголь каменный;19263;24852;1;218
Уссурийск;Дунай;1000;55;уголь каменный;17748;22861;1;178
Уссурийск;Находка;1000;55;уголь каменный;20691;26727;1;246